signing_team,season_year,total_mis,total_aav_spent,signing_count,signing_count_tier1,signing_count_tier2,signing_count_tier3,signing_count_tier4,has_goalie_signing,offseason_data_pending
FLA,2023,2391620.1,9760624,12,2,4,3,3,TRUE,FALSE
LAK,2023,732799.85,4751117,9,2,3,0,1,TRUE,FALSE
MIN,2023,426250,2325000,3,0,0,2,1,FALSE,FALSE
MTL,2023,348750,1550000,2,0,1,1,0,FALSE,FALSE
NJD,2023,1007717.15,3875911,7,2,1,3,1,TRUE,FALSE
NSH,2023,2619000,19205000,8,1,1,2,1,TRUE,FALSE
NYI,2023,389375,2337500,3,0,0,1,2,FALSE,FALSE
NYR,2023,828406.75,3939110,7,0,3,1,3,FALSE,FALSE
OTT,2023,426468,2325912,5,1,0,2,2,TRUE,FALSE
PHI,2023,1260000,6425000,5,0,2,2,1,FALSE,FALSE
PIT,2023,3416373.2,19563626,18,2,4,3,4,TRUE,FALSE
SEA,2023,1630000,8525000,7,0,2,2,1,FALSE,FALSE
SJS,2023,982620.75,5300805,7,0,1,2,4,FALSE,FALSE
STL,2023,930000,3875000,5,1,2,1,1,TRUE,FALSE
TBL,2023,581933.15,3105896,10,0,1,2,4,FALSE,FALSE
TOR,2023,3107530.6,14975612,10,1,4,1,2,TRUE,FALSE
VAN,2023,1977576.5,8300306,6,1,3,2,0,TRUE,FALSE
VGK,2023,38750,775000,1,0,0,0,0,FALSE,FALSE
WPG,2023,1000000,3300000,3,2,0,0,1,TRUE,FALSE
WSH,2023,0,0,0,0,0,0,0,FALSE,FALSE
ANA,2024,273750,1562500,2,0,0,1,1,FALSE,FALSE
ARI,2024,0,0,0,0,0,0,0,FALSE,FALSE
BOS,2024,1550126.5,19375506,8,0,3,1,2,FALSE,FALSE
BUF,2024,1245128.9,5426324,10,2,3,2,1,TRUE,FALSE
CAR,2024,2983780.9,14425206,10,1,3,1,2,TRUE,FALSE
CBJ,2024,1720135.75,7825905,5,1,1,2,1,TRUE,FALSE
CGY,2024,1546482.15,7276011,6,1,3,0,2,TRUE,FALSE
CHI,2024,3922612.1,30050618,10,1,2,0,2,TRUE,FALSE
COL,2024,970427.5,4201710,7,0,5,2,0,FALSE,FALSE
DAL,2024,2370063.6,10100212,8,1,4,2,1,TRUE,FALSE
DET,2024,2440212.5,11126011,9,2,2,2,3,TRUE,FALSE
EDM,2024,658847.7,2326530,8,1,3,0,0,TRUE,FALSE
FLA,2024,1297201.25,6295805,9,1,3,1,4,TRUE,FALSE
LAK,2024,2301250,11225000,7,0,3,2,2,FALSE,FALSE
MIN,2024,1978750,10475000,10,1,2,3,2,TRUE,FALSE
MTL,2024,155000,775000,1,0,0,1,0,FALSE,FALSE
NJD,2024,2277601.5,13400406,7,0,3,0,2,FALSE,FALSE
NSH,2024,2400337.7,10101512,8,2,2,4,0,TRUE,FALSE
NYI,2024,853750,9325000,5,0,1,2,0,FALSE,FALSE
NYR,2024,351896.2,1562606,3,0,1,2,0,FALSE,FALSE
OTT,2024,1348871.1,6552422,10,0,2,3,1,FALSE,FALSE
PHI,2024,426250,1550000,2,1,0,1,0,TRUE,FALSE
PIT,2024,2097500,9725000,8,0,4,2,2,FALSE,FALSE
SEA,2024,2754464.25,11792857,7,0,4,1,2,FALSE,FALSE
SJS,2024,364274.05,1628328,7,0,2,3,0,FALSE,FALSE
STL,2024,625000,2500000,3,0,3,0,0,FALSE,FALSE
TBL,2024,588885.75,4025905,6,0,2,0,2,FALSE,FALSE
TOR,2024,2885000,11295000,7,1,4,1,1,TRUE,FALSE
VAN,2024,2598801.5,13375206,8,2,2,1,3,TRUE,FALSE
VGK,2024,1600000,8975000,8,1,1,3,1,TRUE,FALSE
WPG,2024,504068.85,2325911,5,2,1,2,0,TRUE,FALSE
WSH,2024,0,0,0,0,0,0,0,FALSE,FALSE
ANA,2025,141.20000000000002,706,1,0,0,1,0,FALSE,FALSE
BOS,2025,1871250,10025000,7,0,2,3,2,FALSE,FALSE
BUF,2025,1548976.25,7225905,8,2,1,2,2,TRUE,FALSE
CAR,2025,1666250,10375000,3,0,1,0,2,FALSE,FALSE
CBJ,2025,570227.75,2850911,5,0,3,1,1,FALSE,FALSE
CGY,2025,0,0,0,0,0,0,0,FALSE,FALSE
CHI,2025,170026.5,850106,2,0,1,1,0,FALSE,FALSE
COL,2025,740026.5,3900106,5,0,2,2,1,FALSE,FALSE
DAL,2025,116291.2,775206,2,0,0,1,1,FALSE,FALSE
DET,2025,992542.4,4550212,5,0,3,1,1,FALSE,FALSE
EDM,2025,1382500,8200000,6,1,1,1,1,TRUE,FALSE
FLA,2025,891250,3875000,5,1,1,2,1,TRUE,FALSE
LAK,2025,2791382.4,11575612,8,1,3,2,2,TRUE,FALSE
MIN,2025,697742.45,3101011,6,1,2,1,2,TRUE,FALSE
MTL,2025,906452.2,3476011,6,1,2,2,1,TRUE,FALSE
NJD,2025,232561.8,3100412,6,0,0,0,3,FALSE,FALSE
NSH,2025,687500,2750000,1,0,1,0,0,FALSE,FALSE
NYI,2025,707598,3425512,6,1,2,1,2,TRUE,FALSE
NYR,2025,922676.5,4600706,6,1,2,0,3,TRUE,FALSE
OTT,2025,1191875,7737500,8,2,1,0,2,TRUE,FALSE
PHI,2025,2086476.25,15800905,6,1,2,1,0,TRUE,FALSE
PIT,2025,1104027.75,6326111,7,0,4,0,3,FALSE,FALSE
SEA,2025,1125037.1,4500106,2,1,1,0,0,TRUE,FALSE
SJS,2025,2640173.3,10801224,10,1,3,4,0,TRUE,FALSE
STL,2025,1523750,8200000,5,1,0,2,0,TRUE,FALSE
TBL,2025,813750,4650000,5,0,1,1,3,FALSE,FALSE
TOR,2025,480000,2400000,3,0,0,3,0,FALSE,FALSE
UTA,2025,2123750,14050000,7,1,2,1,0,TRUE,FALSE
VAN,2025,1150000,4975000,6,1,2,2,1,TRUE,FALSE
VGK,2025,603326.25,2738305,4,0,3,0,1,FALSE,FALSE
WPG,2025,1301281.8,13625212,10,1,1,0,5,TRUE,FALSE
WSH,2025,0,0,0,0,0,0,0,FALSE,FALSE
ANA,2026,0,0,0,0,0,0,0,FALSE,TRUE
BOS,2026,0,0,0,0,0,0,0,FALSE,TRUE
BUF,2026,0,0,0,0,0,0,0,FALSE,TRUE
CAR,2026,0,0,0,0,0,0,0,FALSE,TRUE
CBJ,2026,0,0,0,0,0,0,0,FALSE,TRUE
CGY,2026,0,0,0,0,0,0,0,FALSE,TRUE
CHI,2026,0,0,0,0,0,0,0,FALSE,TRUE
COL,2026,0,0,0,0,0,0,0,FALSE,TRUE
DAL,2026,0,0,0,0,0,0,0,FALSE,TRUE
DET,2026,0,0,0,0,0,0,0,FALSE,TRUE
EDM,2026,0,0,0,0,0,0,0,FALSE,TRUE
FLA,2026,0,0,0,0,0,0,0,FALSE,TRUE
LAK,2026,0,0,0,0,0,0,0,FALSE,TRUE
MIN,2026,0,0,0,0,0,0,0,FALSE,TRUE
MTL,2026,0,0,0,0,0,0,0,FALSE,TRUE
NJD,2026,0,0,0,0,0,0,0,FALSE,TRUE
NSH,2026,0,0,0,0,0,0,0,FALSE,TRUE
NYI,2026,0,0,0,0,0,0,0,FALSE,TRUE
NYR,2026,0,0,0,0,0,0,0,FALSE,TRUE
OTT,2026,0,0,0,0,0,0,0,FALSE,TRUE
PHI,2026,0,0,0,0,0,0,0,FALSE,TRUE
PIT,2026,0,0,0,0,0,0,0,FALSE,TRUE
SEA,2026,0,0,0,0,0,0,0,FALSE,TRUE
SJS,2026,0,0,0,0,0,0,0,FALSE,TRUE
STL,2026,0,0,0,0,0,0,0,FALSE,TRUE
TBL,2026,0,0,0,0,0,0,0,FALSE,TRUE
TOR,2026,0,0,0,0,0,0,0,FALSE,TRUE
UTA,2026,0,0,0,0,0,0,0,FALSE,TRUE
VAN,2026,0,0,0,0,0,0,0,FALSE,TRUE
VGK,2026,0,0,0,0,0,0,0,FALSE,TRUE
WPG,2026,0,0,0,0,0,0,0,FALSE,TRUE
WSH,2026,0,0,0,0,0,0,0,FALSE,TRUE
